,Name,Full Ticker,Ticker,P/E Ratio,sector,industry,ticker
2622,Nomad Technologies Holdings Limited,SEHK:8645,8645,-221.7697,Technology,Information Technology Services,8645
2623,China Hongguang Holdings Limited,SEHK:8646,8646,6.0176,Industrials,Building Products & Equipment,8646
2624,Jiande International Holdings Limited,SEHK:865,865,3.5666,Real Estate,Real Estate—Development,865
2625,True Partner Capital Holding Limited,SEHK:8657,8657,-181.5706,Financial Services,Asset Management,8657
2626,Yik Wo International Holdings Limited,SEHK:8659,8659,3.9959,Consumer Cyclical,Packaging & Containers,8659
2627,China Qinfa Group Limited,SEHK:866,866,-14.0291,Energy,Thermal Coal,866
2628,Ying Hai Group Holdings Company Limited,SEHK:8668,8668,-9.9961,Consumer Cyclical,Travel Services,8668
2629,Playmates Toys Limited,SEHK:869,869,-5.1403,Consumer Cyclical,Leisure,869
2630,China Dredging Environment Protection Holdings Limited,SEHK:871,871,-0.2466,Industrials,Engineering & Construction,871
2631,TUS International Limited,SEHK:872,872,-0.6318,Consumer Cyclical,Auto Parts,872
2632,Shimao Services Holdings Limited,SEHK:873,873,56.0839,Real Estate,Real Estate Services,873
2633,China Finance Investment Holdings Limited,SEHK:875,875,-11.7912,Consumer Defensive,Farm Products,875
2634,Kaisa Health Group Holdings Limited,SEHK:876,876,-2.2036,Healthcare,Medical Instruments & Supplies,876
2635,Rentian Technology Holdings Limited,SEHK:885,885,-0.1662,Technology,Information Technology Services,885
